,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
17,virasana,Cures rheumatic pains in the knees,Curing flat feet,cures rheumatic pains knees,curing flat feet,14
18,sirshasana,Encourages deeper respiration,Relaxes the body and mind,encourages deeper respiration,relaxes body mind,15
19,ushtrasana,The expansion of the diaphragm is beneficial for respiration.,Camel Pose(Ustrasana) is effective in detoxifying the body.,expansion diaphragm beneficial respiration,camel poseustrasana effective detoxifying body,6
20,mandukasana,"Cures Diabetes: The pressure on the abdominal muscles activates the pancreas, thus increasing the quantity of insulin production. And this can help in reducing or maintaining the sugar levels in the body.","Blood Circulations improves around the heart and the chest: The expansion and contraction of the muscles around the chest with deep breathing while it is compressed towards the thighs, creates the flow of fresh blood thus improving in the circulation too.",cures diabetes pressure abdominal muscles activates pancreas thus increasing quantity insulin production help reducing maintaining sugar levels body,blood circulations improves around heart chest expansion contraction muscles around chest deep breathing compressed towards thighs creates flow fresh blood thus improving circulation,16
21,gomukhasana,"can help to stretch and open up the hips and thighs, which can be beneficial for those with tightness or discomfort in these areas.",can help to stimulate the digestive system and relieve digestive issues such as bloating and constipation.,help stretch open hips thighs beneficial tightness discomfort areas,help stimulate digestive system relieve digestive issues bloating constipation,10
22,purvottanasana,Improves the functioning of the thyroid gland,Core strength is improved,improves functioning thyroid gland,core strength improved,17
23,setu bandhasana,This fortifies the shoulders and corrects sagging shoulders.,can help to calm the mind and reduce stress and anxiety.,fortifies shoulders corrects sagging shoulders,help calm mind reduce stress anxiety,18
24,bhujangasana,"It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders.",Improves posture,tones ovaries uterus helps menstrual gynaecological disorders,improves posture,11
25,bananasana,"The pose gives a range of motion to the runners, and sportsmen by this supine side stretch when practiced on both sides.","the awareness is at the side muscles of the back, chest, abdomen, and hips. ",pose gives range motion runners sportsmen supine side stretch practiced sides,awareness side muscles back chest abdomen hips,19
26,pavanamuktasana,"can help to relieve bloating, gas, and other digestive discomforts by stimulating the digestive organs and releasing trapped gas.",The toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture.,help relieve bloating gas digestive discomforts stimulating digestive organs releasing trapped gas,toning lower body strengthening lower back combined hip stability enhances body posture,20
27,rajakapotasana,"the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs.",The neck stretch giving room for balancing the thyroid glands.,internal abdominal organs hence stimulated digestive juices secreted well giving room good digestion pancreas liver kidney massaged well thus improving functioning organs,neck stretch giving room balancing thyroid glands,21
28,tadasana,Reduces stress and anxiety,"It helps to increase height by stretching the muscles and ligaments, enabling growing bones to grow longer.",reduces stress anxiety,helps increase height stretching muscles ligaments enabling growing bones grow longer,8
29,pada hastasana,"Other benefits resulting from this inversion include increased vitality, improved metabolism, increased concentration and the removal of nasal and throat diseases.",can help to improve lung function and increase lung capacity.,benefits resulting inversion include increased vitality improved metabolism increased concentration removal nasal throat diseases,help improve lung function increase lung capacity,22
30,kurmasana,Blood circulation improves with the elongated spine,Reduces symptoms related to sciatic nerve,blood circulation improves elongated spine,reduces symptoms related sciatic nerve,23
31,bharadvajasana,"help to calm the mind, reduce stress and anxiety, and improve overall mental health and wellbeing.","can stimulate the digestive system and help to relieve digestive issues such as constipation, flatulence, and indigestion.",help calm mind reduce stress anxiety improve overall mental health wellbeing,stimulate digestive system help relieve digestive issues constipation flatulence indigestion,9
32,ardha matsyendrasana,improves the flexibility of the spine.,This pose massages the organs in the abdominal region. It improves digestion.,improves flexibility spine,pose massages organs abdominal region improves digestion,4
33,pada hastasana,All spinal nerves are stimulated and toned.,helps to remove excess weight.,spinal nerves stimulated toned,helps remove excess weight,22
34,sarvangasana,"can help to improve blood circulation throughout the body, particularly to the head and neck.","By pressing the chest against the chin, this asana stimulates the thyroid gland.",help improve blood circulation throughout body particularly head neck,pressing chest chin asana stimulates thyroid gland,13
35,ananda madirasana,Helps in weight loss by improving metabolism.,"It increases the efficiency of the entire digestive system, relieving stomach ailments such as hyperacidity and peptic ulcer.",helps weight loss improving metabolism,increases efficiency entire digestive system relieving stomach ailments hyperacidity peptic ulcer,2
36,prasarita padottanasana,"Improves digestion: Prasarita Padottanasana can help to stimulate the digestive system and alleviate digestive issues such as constipation, bloating, and gas",The Prasarita Padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.,improves digestion prasarita padottanasana help stimulate digestive system alleviate digestive issues constipation bloating gas,prasarita padottanasana also harmonizes abdominal muscles also relieves headaches caused due excessive stress,5
37,prasarita padottanasana,can help to calm the mind and reduce stress and anxiety.,"Flexibility and Range of Motion: All the muscles of the body- the shoulders, chest, abdomen, hips, back, and legs stretch in this pose, thereby increasing the range of motion for better flexibility. ",help calm mind reduce stress anxiety,flexibility range motion muscles body shoulders chest abdomen hips back legs stretch pose thereby increasing range motion better flexibility,5
38,ananda madirasana,helps diabetes.,Improves Digestion,helps diabetes,improves digestion,2
39,gomukhasana,helps diabetes.,can help to calm the mind and reduce stress and anxiety.,helps diabetes,help calm mind reduce stress anxiety,10
40,prasarita padottanasana,"can help to strengthen the leg muscles and core muscles, improving overall stability and balance.",helps the deoxygenated blood go through veins back to the heart. It reduces the effort by the venous system to pump blood back to the heart. This pose relaxes the heart by increasing the efficiency of the Arterio-Venous Arcade in the body.,help strengthen leg muscles core muscles improving overall stability balance,helps deoxygenated blood go veins back heart reduces effort venous system pump blood back heart pose relaxes heart increasing efficiency arteriovenous arcade body,5
41,rajakapotasana,"The Lower back, hip, thighs, psoas, abdomen, chest, shoulders, neck, hamstring, pelvic, and calves are toned. The toning of these muscles adds to the overall toning of the entire outer body.",regulates functioning of the uterus and immune system,lower back hip thighs psoas abdomen chest shoulders neck hamstring pelvic calves toned toning muscles adds overall toning entire outer body,regulates functioning uterus immune system,21
42,ushtrasana,"This asana is beneficial for the digestive and reproductive systems. It stretches the stomach and intestines, alleviating constipation.",Helps overcome menstrual discomfort.,asana beneficial digestive reproductive systems stretches stomach intestines alleviating constipation,helps overcome menstrual discomfort,6
43,ardha matsyendrasana,This pose massages the organs in the abdominal region. It improves digestion.,Helps in diabetes,pose massages organs abdominal region improves digestion,helps diabetes,4
44,pada hastasana,"This asana massages and tones the digestive organs, alleviates flatulence, constipation and indigestion.",It improves digestion and reduces constipation. It eliminates many stomach ailments.,asana massages tones digestive organs alleviates flatulence constipation indigestion,improves digestion reduces constipation eliminates many stomach ailments,22
45,rajakapotasana,The back pain is cured,regulates functioning of the uterus and immune system,back pain cured,regulates functioning uterus immune system,21
46,ardha ushtrasana,"stimulates the internal organs of the stomach and boosts the functions of liver, pancreas, adrenal, helping in diabetes .","The backward bend loosens up the vertebrae and stimulates the spinal nerves, relieving backache, rounded back and drooping shoulders.",stimulates internal organs stomach boosts functions liver pancreas adrenal helping diabetes,backward bend loosens vertebrae stimulates spinal nerves relieving backache rounded back drooping shoulders,24
47,ushtrasana,Improves flexibility of the spine and also improves posture.,"stimulates the endocrine glands with abdominal stretching and alleviates diseases related to the ovaries, pineal glands, and testes. Etc",improves flexibility spine also improves posture,stimulates endocrine glands abdominal stretching alleviates diseases related ovaries pineal glands testes etc,6
48,utkata konasana,"Goddess Pose (Utkata Konasana) stimulates the pelvis, encouraging flow of prana for better functioning of the reproductive organs.","It energizes the body, relieves stress and gives a general sense of well-being.",goddess pose utkata konasana stimulates pelvis encouraging flow prana better functioning reproductive organs,energizes body relieves stress gives general sense wellbeing,25
49,bhujangasana,helps diabetes.,"can help to improve posture and alignment of the spine, which can be beneficial for those with poor posture or back pain. ",helps diabetes,help improve posture alignment spine beneficial poor posture back pain,11
50,gomukhasana,"improves posture by increasing energy, awareness, and generally opening the chest area.",It can remove stiff shoulders and backpain.,improves posture increasing energy awareness generally opening chest area,remove stiff shoulders backpain,10
51,utkata konasana,Utkata Konasana enhances the functioning of organs in the thorax and improves respiration.,The lengthening of the spine coupled with the strengthening of the knee and ankle joints supported with a stable hip enhances overall flexibility and improves agility.,utkata konasana enhances functioning organs thorax improves respiration,lengthening spine coupled strengthening knee ankle joints supported stable hip enhances overall flexibility improves agility,25
52,ardha kapotasana,"The stretch at the entire abdominal muscles encourages a proper functioning of the internal organs, thus improving digestion too.","The endocrine system which includes the pineal gland, pituitary gland, thyroid gland, adrenal gland and pancreas, gets stimulated with the deep stretch at the head, neck, chest and abdomen.",stretch entire abdominal muscles encourages proper functioning internal organs thus improving digestion,endocrine system includes pineal gland pituitary gland thyroid gland adrenal gland pancreas gets stimulated deep stretch head neck chest abdomen,0
53,pavanamuktasana,It stabilizes the hips.,"can be used to treat menstrual disorders, flatulence, constipation, infertility and impotence or diabetes. Flatulence is a buildup of gas in the digestive system that can lead to abdominal discomfort. Excessive flatulence can cause discomfort and distress. Many times, headaches and migraines are caused due to Vata dosha (gaseous formation in the body which is not passed out). This pose is good to treat such physical conditions.",stabilizes hips,used treat menstrual disorders flatulence constipation infertility impotence diabetes flatulence buildup gas digestive system lead abdominal discomfort excessive flatulence cause discomfort distress many times headaches migraines caused due vata dosha gaseous formation body passed pose good treat physical conditions,20
54,vajrasana,It is the best meditation asana for people suffering from sciatica.,Heals Body,best meditation asana people suffering sciatica,heals body,12
55,upavistha konasana,Upavistha Konasana stretches the adductor muscles of the groin and also activates the joint muscles.,"By regular practicing of Wide-Angle Seated Forward Bend will open the hands and legs stiffness, which is the only disease of old age.",upavistha konasana stretches adductor muscles groin also activates joint muscles,regular practicing wideangle seated forward bend open hands legs stiffness disease old age,26
56,trikonasana,Helps with digestion: The pose can help to stimulate the digestive organs and aid in digestion.,Trikonasana is a good workout which can get the blocked energies moving and can relieve depression.,helps digestion pose help stimulate digestive organs aid digestion,trikonasana good workout get blocked energies moving relieve depression,27
57,mandukasana,Tones the abdominal muscles: Mandukasana can help to tone and strengthen the abdominal muscles,Tones the Abdominal muscles,tones abdominal muscles mandukasana help tone strengthen abdominal muscles,tones abdominal muscles,16
58,bharadvajasana,"can stimulate the digestive system and help to relieve digestive issues such as constipation, flatulence, and indigestion.",helps in reducing any pain related to cervicalgia.,stimulate digestive system help relieve digestive issues constipation flatulence indigestion,helps reducing pain related cervicalgia,9
59,pada hastasana,makes the body very flexible. It stretches the back and leg muscles.,It helps to eliminate excess belly fat.,makes body flexible stretches back leg muscles,helps eliminate excess belly fat,22
60,dhanurasana,The entire alimentary canal is reconditioned by this asana.,It helps to correct hunching of the upper back.,entire alimentary canal reconditioned asana,helps correct hunching upper back,28
61,upavistha konasana,It strengthens the spine.,"It also improves flexibility in the legs, shoulders, hands, neck, arms, spine and increases energy.",strengthens spine,also improves flexibility legs shoulders hands neck arms spine increases energy,26
62,purvottanasana,"Improves the functioning of the thymus:The thymus located in front of the heart, helps in maintaining the immune system. It helps the body fight foreign invaders.","This pose works on the entire body, right from the toes to the neck, giving room for a well toned body with the burning of fat around the thighs, hips, chest and abdomen.",improves functioning thymusthe thymus located front heart helps maintaining immune system helps body fight foreign invaders,pose works entire body right toes neck giving room well toned body burning fat around thighs hips chest abdomen,17
63,supta vajrasana,The nerves in the neck and the thyroid gland are particularly influenced.,It loosens up the legs in preparation for sitting in meditation asanas. It redirects sexual energy to the brain for spiritual purposes.,nerves neck thyroid gland particularly influenced,loosens legs preparation sitting meditation asanas redirects sexual energy brain spiritual purposes,29
64,ushtrasana,Improves digestion.,"The element of Camel Pose is the chest opening. It stretches the chest muscles, enhances blood circulation in the body, and fosters a healthy heart.",improves digestion,element camel pose chest opening stretches chest muscles enhances blood circulation body fosters healthy heart,6
65,padmasana,helps diabetes.,Stretches the chest and shoulders,helps diabetes,stretches chest shoulders,1
66,jathara parivartanasana,"The muscles of the spine are strengthened improving in flexibility, and range of motion.",can help in reducing the stiffness and tensions accumulated.,muscles spine strengthened improving flexibility range motion,help reducing stiffness tensions accumulated,30
67,bharadvajasana,"the entire spine at various parts get a stretch with the twist. At the lumbar region, the thoracic region and the cervical region. ",Therapeutic for cervical pain,entire spine various parts get stretch twist lumbar region thoracic region cervical region,therapeutic cervical pain,9
68,parighasana,helps increase the immunity of the body in various ways.,"helps reduce the frequency and intensity of allergies, over a period of time.",helps increase immunity body various ways,helps reduce frequency intensity allergies period time,31
69,supta baddha konasana,a restorative yoga posture that provides numerous physical and mental benefits.,"can help to calm the mind and reduce stress and anxiety, promoting relaxation and better sleep.",restorative yoga posture provides numerous physical mental benefits,help calm mind reduce stress anxiety promoting relaxation better sleep,32
70,vajrasana,Relieves knee and joint pain.,This bandha controls the blood circulation from the waist downwards.,relieves knee joint pain,bandha controls blood circulation waist downwards,12
71,pavanamuktasana,can help to relieve lower back pain by stretching and releasing tension in the lower back muscles.,This strengthens the cervical spine too.,help relieve lower back pain stretching releasing tension lower back muscles,strengthens cervical spine,20
72,vajrasana,Strengthens the back and leg muscles.,It is a preventative measure against hernia and also helps to relieve piles.,strengthens back leg muscles,preventative measure hernia also helps relieve piles,12
73,vajrasana,Vajrasana alters the flow of blood and nervous impulses in the pelvic region and strengthens the pelvic muscles.,The folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.,vajrasana alters flow blood nervous impulses pelvic region strengthens pelvic muscles,folding knees thighs stretches muscles improves blood circulation improves flexibility,12
74,ardha katicakrasana,"Improves flexibility of the spine, hips, and legs.",Improves diabetes,improves flexibility spine hips legs,improves diabetes,33
75,ananda madirasana,Strengthens the back and leg muscles.,"This asana is used primarily to awaken ajna chakra. It also calms the mind, relaxes the nervous system and gives all the benefits of vajrasana.",strengthens back leg muscles,asana used primarily awaken ajna chakra also calms mind relaxes nervous system gives benefits vajrasana,2
76,trikonasana,helps diabetes.,"tretches and strengthens muscles: Trikonasana stretches and strengthens the muscles in the legs, hips, back, and chest.",helps diabetes,tretches strengthens muscles trikonasana stretches strengthens muscles legs hips back chest,27
77,pada hastasana,helps to remove excess weight.,It helps to eliminate excess belly fat.,helps remove excess weight,helps eliminate excess belly fat,22
78,vajrasana,Strengthens the back and leg muscles.,"It stimulates the vajra nadi, activates prana in sushumna and redirects sexual energy for spiritual purposes.",strengthens back leg muscles,stimulates vajra nadi activates prana sushumna redirects sexual energy spiritual purposes,12
79,kati chakrasana,helps diabetes.,Improves spinal flexibility,helps diabetes,improves spinal flexibility,34
80,vajrasana,helps diabetes.,It is a preventative measure against hernia and also helps to relieve piles.,helps diabetes,preventative measure hernia also helps relieve piles,12
81,ardha ushtrasana,"It stretches and stimulates the respiratory organs and helps in conditions like Asthma, branchitis , and other respiratory disorders.","The front of the neck is fully stretched, toning the organs in this region and regulating the thyroid gland.",stretches stimulates respiratory organs helps conditions like asthma branchitis respiratory disorders,front neck fully stretched toning organs region regulating thyroid gland,24
82,marichyasana,can help to increase spinal flexibility and mobility.,can help to relieve tension and pain in the back muscles.,help increase spinal flexibility mobility,help relieve tension pain back muscles,35
83,vakrasana,Helps in detoxifying the body by releasing toxins.,"tones the muscles of the back and thus brings stability to the spine,tones the internal organs like the digestive system, intestines, uterus and kidney",helps detoxifying body releasing toxins,tones muscles back thus brings stability spinetones internal organs like digestive system intestines uterus kidney,36
84,matsyasana,can help to increase spinal flexibility and mobility.,This practice is very good for asthma and bronchitis as it encourages deep respiration.,help increase spinal flexibility mobility,practice good asthma bronchitis encourages deep respiration,37
85,vajrasana,Increases Flexibility in Ankles: The ankles are bent so well giving room for greater flexibility right up to the tips of the toes.,This bandha controls the blood circulation from the waist downwards.,increases flexibility ankles ankles bent well giving room greater flexibility right tips toes,bandha controls blood circulation waist downwards,12
86,ashta chandrasana,"With the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.","Improves the joints while flexing them: The flexing of the knees, ankles, hips, shoulders, elbow, entire spine and neck helps to keep them strong while the muscles around these joints become strong with contraction ",muscles activated including abdominal muscles digestive system reproductive system improve functions thus reducing indigestion problems related reproductive system,improves joints flexing flexing knees ankles hips shoulders elbow entire spine neck helps keep strong muscles around joints become strong contraction,38
87,bananasana,the complete side muscles of the body are stretched.,"A mild pressure is also on the knees, at the abdomen with the expansion of the oblique muscles, the chest and rib cage, and the IT band (the side thigh going down to the knee).",complete side muscles body stretched,mild pressure also knees abdomen expansion oblique muscles chest rib cage band side thigh going knee,19
88,upavistha konasana,It can give relief to sciatica.,Upavistha Konasana stretches the adductor muscles of the groin and also activates the joint muscles.,give relief sciatica,upavistha konasana stretches adductor muscles groin also activates joint muscles,26
89,setu bandhasana,"helps reduce belly fat, hence toning the belly.",Relieves lower back pain: Setu Bandhasana can help to relieve lower back pain by stretching and releasing tension in the lower back muscles.,helps reduce belly fat hence toning belly,relieves lower back pain setu bandhasana help relieve lower back pain stretching releasing tension lower back muscles,18
90,vajrasana,Helps in maintaining good posture.,It alleviates menstrual disorders.,helps maintaining good posture,alleviates menstrual disorders,12
91,gomukhasana,"alleviate tiredness, tension and anxiety.",It can remove stiff shoulders and backpain.,alleviate tiredness tension anxiety,remove stiff shoulders backpain,10
92,utkata konasana,It builds strength and stability within the lower body and a strong base for the hips and spine.,It widens the uterus before pregnancy and helps during pregnancy.,builds strength stability within lower body strong base hips spine,widens uterus pregnancy helps pregnancy,25
93,mandukasana,can help to calm the mind and reduce stress and anxiety.,Tones the Abdominal muscles,help calm mind reduce stress anxiety,tones abdominal muscles,16
94,supta trivikramasana,"helps to build flexible hips, knees, and shoulders","Due to stretch in all the parts of the body, there is never an accident in the body and the body remains flexible.",helps build flexible hips knees shoulders,due stretch parts body never accident body body remains flexible,39
95,ushtrasana,"The element of Camel Pose is the chest opening. It stretches the chest muscles, enhances blood circulation in the body, and fosters a healthy heart.","Ustrasana works subtly but effectively to improve the digestive, respiratory, endocrine, lymphatic, skeletal, and circulatory systems",element camel pose chest opening stretches chest muscles enhances blood circulation body fosters healthy heart,ustrasana works subtly effectively improve digestive respiratory endocrine lymphatic skeletal circulatory systems,6
96,purvottanasana,"Improves the functioning of the thymus:The thymus located in front of the heart, helps in maintaining the immune system. It helps the body fight foreign invaders.",improves the arm strength and the leg strength.,improves functioning thymusthe thymus located front heart helps maintaining immune system helps body fight foreign invaders,improves arm strength leg strength,17
97,virasana,improves the posture of the spine which works as an advantage for long hours of meditation or pranayama.,helps in improving mental focus during pranayama and meditation.,improves posture spine works advantage long hours meditation pranayama,helps improving mental focus pranayama meditation,14
98,bhujangasana,Increases the flexibility of the entire spine,"can stimulate the abdominal organs, including the kidneys and digestive system, which can be beneficial for overall health and wellbeing.",increases flexibility entire spine,stimulate abdominal organs including kidneys digestive system beneficial overall health wellbeing,11
99,ardha matsyendrasana,It activates the pancreas and helps to manage diabetes.,Stretches the inner thighs.,activates pancreas helps manage diabetes,stretches inner thighs,4
100,kurmasana,Cures Insomnia,great way to relax the entire nerves and calms the mind inducing sleep. Hence can be used therapeutically to heal insomnia.,cures insomnia,great way relax entire nerves calms mind inducing sleep hence used therapeutically heal insomnia,23
101,paschimottanasana,"It tones and massages the entire abdominal and pelvic region including the liver, pancreas, spleen, kidneys and adrenal glands.",Stretches the hamstrings,tones massages entire abdominal pelvic region including liver pancreas spleen kidneys adrenal glands,stretches hamstrings,40
102,pavanamuktasana,"Strengthens the core: This pose engages the core muscles, which can help to strengthen and tone the abdominal muscles.",The toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture.,strengthens core pose engages core muscles help strengthen tone abdominal muscles,toning lower body strengthening lower back combined hip stability enhances body posture,20
103,gomukhasana,Gomukhasana helps to make the back flexible.,can help to relieve back pain by stretching the muscles of the back and improving overall posture.,gomukhasana helps make back flexible,help relieve back pain stretching muscles back improving overall posture,10
104,ashta chandrasana,"The flexing of the knees, ankles, hips, shoulders, elbow, entire spine and neck helps to keep them strong while the muscles around these joints become strong with contraction ",Reduces the stiffness around the shoulders and neck,flexing knees ankles hips shoulders elbow entire spine neck helps keep strong muscles around joints become strong contraction,reduces stiffness around shoulders neck,38
105,ushtrasana,"This asana is beneficial for the digestive and reproductive systems. It stretches the stomach and intestines, alleviating constipation.",The posture is improved.,asana beneficial digestive reproductive systems stretches stomach intestines alleviating constipation,posture improved,6
106,setu bandhasana,"stimulates the salivary glands, lymph nodes and thyroid glands.","can help to stimulate the digestive organs, aiding in digestion and elimination.",stimulates salivary glands lymph nodes thyroid glands,help stimulate digestive organs aiding digestion elimination,18
107,ardha katicakrasana,Improves circulation.,Helps to relieve constipation and other digestive disorders. Boosts immunity and improves overall health and wellbeing.,improves circulation,helps relieve constipation digestive disorders boosts immunity improves overall health wellbeing,33
108,vakrasana,Reduces back pain by stretching and strengthening the spinal muscles.,Stimulates the nervous system and improves blood circulation.,reduces back pain stretching strengthening spinal muscles,stimulates nervous system improves blood circulation,36
109,ushtrasana,Improves digestion.,Relieves the body of lower back ache.,improves digestion,relieves body lower back ache,6
110,padmasana,"Padmasana allows the body to be held completely steady for long periods of time. It holds the trunk and head like a pillar with the legs as the firm foundation. As the body is steadied, the mind becomes calm. This steadiness and calmness is the first step towards real meditation.",Facilitates mental and physical balance,padmasana allows body held completely steady long periods time holds trunk head like pillar legs firm foundation body steadied mind becomes calm steadiness calmness first step towards real meditation,facilitates mental physical balance,1
111,kati chakrasana,helps diabetes.,Stimulates digestion,helps diabetes,stimulates digestion,34
112,kati chakrasana,The relaxation and twisting movement induces a feeling of lightness and may be used to relieve physical and mental tension at any time during the day.,Improves spinal flexibility,relaxation twisting movement induces feeling lightness may used relieve physical mental tension time day,improves spinal flexibility,34
113,dhanurasana,"Improves lung function, can help to expand the chest and lungs, which can be beneficial for overall lung function and respiratory health.",useful for the management of diabetes and menstrual disorders.,improves lung function help expand chest lungs beneficial overall lung function respiratory health,useful management diabetes menstrual disorders,28
114,virasana,improves the posture of the spine which works as an advantage for long hours of meditation or pranayama.,Curing flat feet,improves posture spine works advantage long hours meditation pranayama,curing flat feet,14
115,ushtrasana,"Camel Pose stretches the anterior body (the chest, abdomen, and quadriceps, and the psoas muscles).",It tones the glutes and the hamstrings.,camel pose stretches anterior body chest abdomen quadriceps psoas muscles,tones glutes hamstrings,6
116,phalakasana,Maintaining balance requires concentration that in turn improves memory.,It helps in improving the general stamina of the body and therefore relieves stress and physical pain in the body.,maintaining balance requires concentration turn improves memory,helps improving general stamina body therefore relieves stress physical pain body,41
117,gomukhasana,"It relieves backache, sciatica, rheumatism and general stiffness in the shoulders and neck",It helps in the treatment of sciatica.,relieves backache sciatica rheumatism general stiffness shoulders neck,helps treatment sciatica,10
118,mayurasana,"It is useful in managing flatulence, constipation, diabetes and sluggishness of the liver and kidneys.","Increases the metabolism in the body, and helps to keep stress and depression away.",useful managing flatulence constipation diabetes sluggishness liver kidneys,increases metabolism body helps keep stress depression away,42
119,gomukhasana,"can help to stretch and open up the hips and thighs, which can be beneficial for those with tightness or discomfort in these areas.",can help to calm the mind and reduce stress and anxiety.,help stretch open hips thighs beneficial tightness discomfort areas,help calm mind reduce stress anxiety,10
120,prasarita padottanasana,"can help to strengthen the leg muscles and core muscles, improving overall stability and balance.",improves Awareness and Focus (Concentration),help strengthen leg muscles core muscles improving overall stability balance,improves awareness focus concentration,5
121,ushtrasana,Improves flexibility of the spine and also improves posture.,"In this pose, the abdomen and the core are stretched to their sustainable best",improves flexibility spine also improves posture,pose abdomen core stretched sustainable best,6
122,pavanamuktasana,This primarily enhances lower body flexibility.,"can be used to treat menstrual disorders, flatulence, constipation, infertility and impotence or diabetes. Flatulence is a buildup of gas in the digestive system that can lead to abdominal discomfort. Excessive flatulence can cause discomfort and distress. Many times, headaches and migraines are caused due to Vata dosha (gaseous formation in the body which is not passed out). This pose is good to treat such physical conditions.",primarily enhances lower body flexibility,used treat menstrual disorders flatulence constipation infertility impotence diabetes flatulence buildup gas digestive system lead abdominal discomfort excessive flatulence cause discomfort distress many times headaches migraines caused due vata dosha gaseous formation body passed pose good treat physical conditions,20
123,prasarita padottanasana,helps diabetes.,"can help to strengthen the leg muscles and core muscles, improving overall stability and balance.",helps diabetes,help strengthen leg muscles core muscles improving overall stability balance,5
